Category,Created_At,Original_Tweet,Cleaned_Text,Tokenized_Text
education,2025-03-13 05:45:06+00:00,"@SectionEight @AesPolitics1 The bar is so fn low now, nothing would surprise me.

 Deathrow convict, serial killer, random dude with a 6th grade education...sure, why not President? The key is finding those 1 or 2 misfit outcasts with an excessive dowry that wants to hang with the ""cool"" kids",bar fn low nothing would surprise deathrow convict serial killer random dude th grade education sure president key finding misfit outcast excessive dowry want hang cool kid,"['bar', 'fn', 'low', 'nothing', 'would', 'surprise', 'deathrow', 'convict', 'serial', 'killer', 'random', 'dude', 'th', 'grade', 'education', 'sure', 'president', 'key', 'finding', 'misfit', 'outcast', 'excessive', 'dowry', 'want', 'hang', 'cool', 'kid']"
education,2025-03-13 05:45:06+00:00,@WhitneyCummings A lot of smart people make dumb babies because they are and always be self centered people and will make for terrible parents who ignore their children which intern make education firing divisions.,lot smart people make dumb baby always self centered people make terrible parent ignore child intern make education firing division,"['lot', 'smart', 'people', 'make', 'dumb', 'baby', 'always', 'self', 'centered', 'people', 'make', 'terrible', 'parent', 'ignore', 'child', 'intern', 'make', 'education', 'firing', 'division']"
education,2025-03-13 05:45:01+00:00,@_domino02_ Or any education either,education either,"['education', 'either']"
education,2025-03-13 05:45:00+00:00,"Reaffirming the administration’s dedication to enhancing science and technology education in the country, the Department of Education (DepEd) announced on Thursday, March 13, that Education Secretary Sonny Angara led the groundbreaking ceremonies for two major science high school… https://t.co/PaBptow98O",reaffirming administration dedication enhancing science technology education country department education deped announced thursday march education secretary sonny angara led groundbreaking ceremony two major science high,"['reaffirming', 'administration', 'dedication', 'enhancing', 'science', 'technology', 'education', 'country', 'department', 'education', 'deped', 'announced', 'thursday', 'march', 'education', 'secretary', 'sonny', 'angara', 'led', 'groundbreaking', 'ceremony', 'two', 'major', 'science', 'high']"
education,2025-03-13 05:45:00+00:00,"You know what propels countries to the top? Universal healthcare, strict gun control and affordable college education. This isn’t rocket science. https://t.co/TP5pVBsBqi",know propels country top universal healthcare strict gun control affordable college education rocket science,"['know', 'propels', 'country', 'top', 'universal', 'healthcare', 'strict', 'gun', 'control', 'affordable', 'college', 'education', 'rocket', 'science']"
education,2025-03-13 05:44:59+00:00,"Education on circularity, sustainability motivates to change behaviour.

For more information:

https://t.co/fGNOG2SyDA

https://t.co/p6WmcmRUzI

https://t.co/5m19K4pX8L",education circularity sustainability motivates change behaviour information,"['education', 'circularity', 'sustainability', 'motivates', 'change', 'behaviour', 'information']"
education,2025-03-13 05:44:59+00:00,"@BasedMikeLee @elonmusk IF YOU REALLY BELIEVE THIS, THEN YOU OBVIOUSLY HAVE NOT FURTHERED YOUR EDUCATION... YOUR WORDS PROVE NO EDUCATION BEYOND THE FIREWALL",really believe obviously furthered education word prove education beyond firewall,"['really', 'believe', 'obviously', 'furthered', 'education', 'word', 'prove', 'education', 'beyond', 'firewall']"
education,2025-03-13 05:44:58+00:00,"@CaVivekkhatri Building a satellite internet network can significantly enhance rural connectivity in India, helping bridge the digital divide and improve access to education and services.",building satellite internet network significantly enhance rural connectivity india helping bridge digital divide improve access education service,"['building', 'satellite', 'internet', 'network', 'significantly', 'enhance', 'rural', 'connectivity', 'india', 'helping', 'bridge', 'digital', 'divide', 'improve', 'access', 'education', 'service']"
education,2025-03-13 05:44:58+00:00,"@Cerebrum1233 You're right, teaching basic philosophy is important. I think education in schools should place more emphasis on developing critical thinking skills. It's concerning that each generation is being taught less. It's shocking to hear that there are teachers who can't read or write↓",right teaching basic philosophy important think education school place emphasis developing critical thinking skill concerning generation taught less shocking hear teacher ca read,"['right', 'teaching', 'basic', 'philosophy', 'important', 'think', 'education', 'school', 'place', 'emphasis', 'developing', 'critical', 'thinking', 'skill', 'concerning', 'generation', 'taught', 'less', 'shocking', 'hear', 'teacher', 'ca', 'read']"
education,2025-03-13 05:44:57+00:00,"9/ The fallout? Beyond health, it’s social—education disrupted, marriages delayed, Over 275-300 people across 18 villages were hit between December 2024 and January 2025. This wasn’t just hair loss; it was a community shaken.",fallout beyond health disrupted marriage delayed people across village hit december january hair loss community shaken,"['fallout', 'beyond', 'health', 'disrupted', 'marriage', 'delayed', 'people', 'across', 'village', 'hit', 'december', 'january', 'hair', 'loss', 'community', 'shaken']"
